filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
EAN13_09_0007.jpg,83846,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[95,99,324,319],""all_points_y"":[325,364,361,323]}","{""barcode"":""ean_pattern""}"
EAN13_09_0006.jpg,106916,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[88,89,278,270],""all_points_y"":[319,354,344,303]}","{""barcode"":""ean_pattern""}"
EAN13_09_0005.jpg,86874,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[74,77,322,321],""all_points_y"":[327,377,384,344]}","{""barcode"":""ean_pattern""}"
EAN13_09_0004.jpg,96572,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[68,110,86,45],""all_points_y"":[243,245,495,492]}","{""barcode"":""ean_pattern""}"
EAN13_09_0003.jpg,93240,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[84,324,328,88],""all_points_y"":[233,220,259,270]}","{""barcode"":""ean_pattern""}"
EAN13_09_0002.jpg,86880,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[58,70,327,323],""all_points_y"":[302,343,346,305]}","{""barcode"":""ean_pattern""}"
EAN13_09_0001.jpg,86525,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[33,32,245,245],""all_points_y"":[305,354,335,301]}","{""barcode"":""ean_pattern""}"
EAN13_09_0021.jpg,79262,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[53,52,321,334],""all_points_y"":[279,320,369,322]}","{""barcode"":""ean_pattern""}"
EAN13_09_0020.jpg,81640,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[68,66,368,366],""all_points_y"":[199,244,266,223]}","{""barcode"":""ean_pattern""}"
EAN13_09_0019.jpg,90182,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[61,64,325,321],""all_points_y"":[271,307,295,261]}","{""barcode"":""ean_pattern""}"
EAN13_09_0018.jpg,80346,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[338,333,362,363],""all_points_y"":[75,307,300,71]}","{""barcode"":""ean_pattern""}"
EAN13_09_0017.jpg,77693,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[352,345,375,373],""all_points_y"":[94,320,318,93]}","{""barcode"":""ean_pattern""}"
EAN13_09_0016.jpg,68328,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[321,321,349,347],""all_points_y"":[117,340,341,111]}","{""barcode"":""ean_pattern""}"
EAN13_09_0015.jpg,69816,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[322,325,353,347],""all_points_y"":[105,328,325,103]}","{""barcode"":""ean_pattern""}"
EAN13_09_0012.jpg,65657,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[315,317,349,347],""all_points_y"":[69,299,298,69]}","{""barcode"":""ean_pattern""}"
EAN13_09_0011.jpg,82664,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[83,85,331,324],""all_points_y"":[327,363,363,325]}","{""barcode"":""ean_pattern""}"
EAN13_09_0010.jpg,67707,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[86,141,127,82],""all_points_y"":[161,165,474,468]}","{""barcode"":""ean_pattern""}"
EAN13_09_0009.jpg,104605,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[119,121,342,341],""all_points_y"":[219,254,264,233]}","{""barcode"":""ean_pattern""}"
EAN13_09_0008.jpg,76663,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[177,187,215,209],""all_points_y"":[233,417,411,230]}","{""barcode"":""ean_pattern""}"
EAN13_09_0033.jpg,59980,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[198,205,238,235],""all_points_y"":[185,437,433,173]}","{""barcode"":""ean_pattern""}"
